"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Subspace partitioning in human prefrontal cortex resolves cognitive interference","https://scispace.com/paper/subspace-partitioning-in-human-prefrontal-cortex-resolves-eg062d0o","2022","Posted Content","bioRxiv","Jan Weber
Gabriela Iwama
Anne-Kristin Solbakk
Alejandro Blenkmann
Pål G. Larsson
Jugoslav Ivanovic
Robert T. Knight
Tor Endestad
Randolph F. Helfrich","10.1101/2022.11.16.516719","https://scispace.com/pdf/subspace-partitioning-in-human-prefrontal-cortex-resolves-eg062d0o.pdf","Human prefrontal cortex (PFC) constitutes the structural basis underlying flexible cognitive control, where mixed-selective neural populations encode multiple task-features to guide subsequent behavior. The mechanisms by which the brain simultaneously encodes multiple task-relevant variables while minimizing interference from task-irrelevant features remain unknown. Leveraging intracranial recordings from the human PFC, we first demonstrate that competition between co-existing representations of past and present task variables incurs a behavioral switch cost. Our results reveal that this interference between past and present states in the PFC is resolved through coding partitioning into distinct low-dimensional neural states; thereby strongly attenuating behavioral switch costs. In sum, these findings uncover a fundamental coding mechanism that constitutes a central building block of flexible cognitive control.","In this article , the authors demonstrate that competition between co-existing representations of past and present task variables incurs a behavioral switch cost, which is resolved through coding partitioning into distinct low-dimensional neural states, thereby attenuating behavioral switch costs."
"Minimal model of strategy switching in the plus-maze navigation task","https://scispace.com/paper/minimal-model-of-strategy-switching-in-the-plus-maze-1dtuwls90y","2010","Book Chapter","Simulation of Adaptive Behavior","Denis Sheynikhovich
Laurent Dollé
Ricardo Chavarriaga
Angelo Arleo","10.1007/978-3-642-15193-4_37","https://scispace.com/pdf/minimal-model-of-strategy-switching-in-the-plus-maze-1dtuwls90y.pdf","Prefrontal cortex (PFC) has been implicated in the ability to switch behavioral strategies in response to changes in reward contingencies A recent experimental study has shown that separate subpopulations of neurons in the prefrontal cortex were activated when rats switched between allocentric place strategies and egocentric response strategies in the plus maze In this paper we propose a simple neural-network model of strategy switching, in which the learning of the two strategies as well as learning to select between those strategies is governed by the same temporal-difference (TD) learning algorithm We show that the model reproduces the experimental data on both behavioral and neural levels On the basis of our results we derive testable prediction concerning a spatial dynamics of the phasic dopamine signal in the PFC, which is thought to encode reward-prediction error in the TD-learning theory","A simple neural-network model of strategy switching is proposed, in which the learning of the two strategies as well as learning to select between those strategies is governed by the same temporal-difference (TD) learning algorithm."
"Prefrontal neural dynamics for behavioral decisions and attentional control","https://scispace.com/paper/prefrontal-neural-dynamics-for-behavioral-decisions-and-mnj1nrfh98","2020","Posted Content","bioRxiv","Yaara Erez
Mikiko Kadohisa
Philippe Petrov
Natasha Sigala
Natasha Sigala
Mark J. Buckley
Makoto Kusunoki
John S. Duncan
John S. Duncan","10.1101/2020.05.06.080325","https://scispace.com/pdf/prefrontal-neural-dynamics-for-behavioral-decisions-and-mnj1nrfh98.pdf","Complex neural dynamics in the prefrontal cortex contribute to context-dependent decisions and attentional competition. To analyze these dynamics, we apply demixed principal component analysis to activity of a primate prefrontal cell sample recorded in a cued target detection task. The results track dynamics of cue and object coding, feeding into movements along a target present-absent decision axis in a low-dimensional subspace of population activity. For a single stimulus, object and cue coding are seen mainly in the contralateral hemisphere. Later, a developing decision code in both hemispheres may reflect interhemispheric communication. With a target in one hemifield and a competing distractor in the other, each hemisphere initially encodes the contralateral object, but finally, decision coding is dominated by the task-relevant target. Tracking complex neural events in a low-dimensional activity subspace illuminates information flow towards task-appropriate behavior, unravelling mechanisms of prefrontal computation.","Track dynamics of cue and object coding, feeding into movements along a target present-absent decision axis in a low-dimensional subspace of population activity, illuminates information flow towards task-appropriate behavior, unravelling mechanisms of prefrontal computation."
"Faculty Opinions Recommendation of Neurophysiology of Rule Switching in the Corticostriatal Circuit.","https://scispace.com/paper/faculty-opinions-recommendation-of-neurophysiology-of-rule-actfnlg2ttfh","","","","Ben Hayden","10.3410/f.726127312.793565481","","The ability to adjust behavioral responses to cues in a changing environment is crucial for survival.Activity in the medial Prefrontal Cortex (mPFC) is thought to both represent rules to guide behavior as well as detect and resolve conflicts between rules in changing contingencies.While lesion and pharmacological studies have supported a crucial role for mPFC in this type of setshifting, an understanding of how mPFC represents current rules or detects and resolves conflict between different rules is still unclear.Meanwhile, medial dorsal striatum (mDS) receives major projections from mPFC and neural activity of mDS is closely linked to action selection, making the mDS a potential major player for enacting rule-guided action policies.However, exactly what is signaled by mPFC and how this impacts neural signals in mDS is not well known.In this review, we will summarize what is known about neural signals of rules and set shifting in both prefrontal cortex and dorsal striatum, as well as provide questions and directions for future experiments.","This review examines the neural mechanisms of rule switching in the corticostriatal circuit, focusing on the medial prefrontal cortex and dorsal striatum, and highlights the need for further research to understand how these regions interact to guide behavior in changing environments."
"The medial prefrontal cortex encodes procedural rules as sequential neuronal activity dynamics","https://scispace.com/paper/the-medial-prefrontal-cortex-encodes-procedural-rules-as-5avb6b0blg6j","2025","Journal Article","Molecular Brain","Shuntaro Ohno
Masanori Nomoto
Kaoru Inokuchi","10.1186/s13041-025-01230-w","","Abstract The prefrontal cortex plays a crucial role in procedural rule learning; however, the specific neuronal mechanism through which it represents rules is unknown. We hypothesized that sequential neuronal activities in the prefrontal cortex encode these rules. To investigate this, we recorded neuronal activities in the medial prefrontal cortex of mice during rule learning using Ca 2+ imaging. We utilized a method based on convolutional negative matrix factorization, iSeq, to automatically detect temporal neuronal sequences in the recorded data. As rule learning advanced, these neuronal sequences began to encode critical information for rule execution. In mice that had mastered the rule, the dynamics of neuronal sequences could predict success and failure of reward acquisition. Furthermore, the composition of cell populations within the neuronal sequences was rearranged throughout the learning process. These findings suggest that as animals learn a rule, the medial prefrontal cortex continually updates its neuronal sequences to assign significance to behavioural actions crucial for reward acquisition. ","The medial prefrontal cortex encodes procedural rules through sequential neuronal activity dynamics, which predict success and failure of reward acquisition as learning advances, with neuronal sequences updating to assign significance to critical behavioral actions."
"Task switching in the prefrontal cortex","https://scispace.com/paper/task-switching-in-the-prefrontal-cortex-ffnjpf7wno","2016","Dissertation","","Eric L. Denovellis","","","The overall goal of this dissertation is to elucidate the cellular and circuit mechanisms underlying flexible behavior in the prefrontal cortex. We are often faced with situations in which the appropriate behavior in one context is inappropriate in others. If these situations are familiar, we can perform the appropriate behavior without relearning how the context relates to the behavior — an important hallmark of intelligence. Neuroimaging and lesion studies have shown that this dynamic, flexible process of remapping context to behavior (task switching) is dependent on prefrontal cortex, but the precise contributions and interactions of prefrontal subdivisions are still unknown. This dissertation investigates two prefrontal areas that are thought to be involved in distinct, but complementary executive roles in task switching — the dorsolateral prefrontal cortex (dlPFC) and the anterior cingulate cortex (ACC). Using electrophysiological recordings from macaque monkeys, I show that synchronous network oscillations in the dlPFC provide a mechanism to flexibly coordinate context representations (rules) between groups of neurons during task switching. Then, I show that, wheras the ACC neurons can represent rules at the cellular level, they do not play a significant role in switching between contexts —","Using electrophysiological recordings from macaque monkeys, it is shown that synchronous network oscillations in the dlPFC provide a mechanism to flexibly coordinate context representations (rules) between groups of neurons during task switching."
"The Higher, More Complicated: The Neural Mechanism of Hierarchical Task Switching on Prefrontal Cortex","https://scispace.com/paper/the-higher-more-complicated-the-neural-mechanism-of-2lz95flp","2022","Journal Article","Brain Sciences","Chengdong Zhu
Jiahui Han","10.3390/brainsci12050645","https://scispace.com/pdf/the-higher-more-complicated-the-neural-mechanism-of-2lz95flp.pdf","Cognitive control is essential to daily life. Task switching is a classical paradigm used to study cognitive control. Previous researchers have studied the representation of different abstract hierarchical rules in the prefrontal cortex and explored the process mechanisms of task switching. However, the differences between the different hierarchical levels of task switching, especially the related neural mechanisms in the prefrontal cortex, are still unclear. This review focuses on and summarizes this issue. The present study suggests that the higher the hierarchical rule shifting or task switching, the more anterior the activation is on the prefrontal cortex. In addition, a high hierarchy of rules or tasks is more abstract, which leads to a larger switching cost.","It is suggested that the higher the hierarchical rule shifting or task switching, the more anterior the activation is on the prefrontal cortex and a high hierarchy of rules or tasks is more abstract, which leads to a larger switching cost."
"The medial prefrontal cortex encodes procedural rules as sequential neuronal activity dynamics","https://scispace.com/paper/the-medial-prefrontal-cortex-encodes-procedural-rules-as-6kawbd4d3ith","2025","Journal Article","","Shuntaro Ohno
Masanori Nomoto
Kaoru Inokuchi","10.1101/2025.01.16.633469","","The prefrontal cortex plays a crucial role in procedural rule learning; however, the specific neuronal mechanism through which it represents rules is unknown. We hypothesized that sequential neuronal activities in the prefrontal cortex encode these rules. To investigate this, we recorded neuronal activities in the medial prefrontal cortex of mice during rule learning using Ca 2+ imaging. We utilized a method based on convolutional negative matrix factorization, iSeq, to automatically detect temporal neuronal sequences in the recorded data. As rule learning advanced, these neuronal sequences began to encode critical information for rule execution. In mice that had mastered the rule, the dynamics of neuronal sequences could predict success and failure of reward acquisition. Furthermore, the composition of cell populations within the neuronal sequences was rearranged throughout the learning process. These findings suggest that as animals learn a rule, the medial prefrontal cortex continually updates its neuronal sequences to assign significance to behavioral actions crucial for reward acquisition. ","The medial prefrontal cortex encodes procedural rules through sequential neuronal activity dynamics, which predict success and failure of reward acquisition as learning advances, with cell population composition rearranging throughout the learning process."
"Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/neural-dynamics-of-reversal-learning-in-the-prefrontal-2ojpptcic1tj","2024","Journal Article","","Christopher M. Kim
Carson C. Chow
Bruno B. Averbeck","10.1101/2024.09.14.613033","","Abstract In probabilistic reversal learning, the choice option yielding reward at higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. In this study, we investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that neural trajectories encoding reversal probability had substantial dynamics associated with intervening behaviors necessary to perform the task. Furthermore, the neural trajectories were translated systematically in response to whether outcomes were rewarded, and their position in the neural subspace captured information about reward outcomes. These findings suggested that separable dynamic trajectories, instead of fixed points on a line attractor, provided a better description of neural representation of reversal probability. Near the behavioral reversal, in particular, the trajectories shifted monotonically across trials with stable ordering, representing varying estimates of reversal probability around the reversal point. Perturbing the neural trajectory of trained networks biased when the reversal trial occurred, showing the role of reversal probability activity in decision-making. In sum, our study shows that cortical neurons encode reversal probability in a family of dynamic neural trajectories that accommodate flexible behavior while maintaining separability to represent distinct probabilistic values. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding dynamic trajectories that encode reversal probability, accommodating flexible behavior while maintaining separability to represent distinct probabilistic values."
"The “tweaking principle” for task switching","https://scispace.com/paper/the-tweaking-principle-for-task-switching-3hw4oszhm8","2014","Journal Article","BMC Neuroscience","Salva Ardid
Salva Ardid
Xiao Jing Wang
Xiao Jing Wang","10.1186/1471-2202-15-S1-P14","https://scispace.com/pdf/the-tweaking-principle-for-task-switching-3hw4oszhm8.pdf","A hallmark of executive control is the brain’s agility to shift between different tasks depending on the behavioral rule currently in play [1]. Humans and other animals exhibit a remarkable ability to flexibly select an appropriate response to a sensory input, and rapidly switch to another sensory-response mapping when task rule or goal changes. An increasing number of monkey experiments have been performed using task-switching paradigms, combined with single-neuron recording from sensory, parietal, and prefrontal cortical areas. Physiological evidence from these studies suggests that modulation of neural activity by task rule is typically weak [2]. By contrast, most previous models commonly assume that a rule signal is similarly strong as sensory stimulation in affecting activity of cortical neurons [3]. How can small rule modulation explain large (binary) behavioral changes in task switching?

In this work, we propose a solution to this puzzle, which we refer to as “the tweaking hypothesis” [4]. The core idea is that network reconfiguration underlying task switching can be realized by very weak top-down signals from rule neurons in prefrontal cortex. This is because a weak input can be greatly amplified through reverberating “attractor” dynamics in categorization and decision circuits, ultimately leading to circuit selection in favor of one sensory-motor mapping over another.

We tested the tweaking hypothesis by developing a neural circuit model for task switching that consists of several basic and interacting circuit modules for sensory coding, rule representation, categorization of stimulus features, and action selection, respectively [4]. The model was validated by reproducing salient single-neuron physiological observations [2] and behavioral effects associated with task switching [1,5,6]. Notably, the model identifies specific circuit mechanisms, in terms of neural dynamics and reward-dependent synaptic plasticity, that explain salient and widely observed behavioral effects associated with task switching [4]: (i) Switch cost: response time and error rate increase in trials following a task switch. Switch cost splits into a component that decreases with a longer time for preparation and a residual component that remains [5]. (ii) Task-response interaction: on task repeat trials, the response time is shorter if the same motor response is repeated; by contrast on switch trials, response time is shorter if an alternative motor response is selected [5,6]. (iii) Congruency effect: response times and the error rate are larger when the stimulus is incongruent compared to when it is congruent, which depends on whether the mapped behavioral response is different or the same, according to alternative rules [5,6].

This work represents a neural circuit model for task switching and sheds insights in the brain mechanism of a fundamental cognitive capability; in particular, that category-selective neurons play an essential role in resolving the sensory-motor conflicts that typically appear in task-switching paradigms [4].","A neural circuit model for task switching is developed that sheds insights in the brain mechanism of a fundamental cognitive capability; in particular, that category-selective neurons play an essential role in resolving the sensory-motor conflicts that typically appear in task-switching paradigms."
