"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment","Data Characteristics and Availability"
"Low-stress Route Learning Using the Lashley III Maze in Mice","https://scispace.com/paper/low-stress-route-learning-using-the-lashley-iii-maze-in-mice-3okm512pdy","2010","Journal Article","Journal of Visualized Experiments","Amanda J. Bressler
David A. Blizard
Anne M. Andrews","10.3791/1786","https://scispace.com/pdf/low-stress-route-learning-using-the-lashley-iii-maze-in-mice-3okm512pdy.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides trial‑by‑trial learning index and strain comparisons; lacks reinforcement mechanisms, abrupt insight, detailed path efficiency per mouse, and computational modeling.","Many behavior tests designed to assess learning and memory in rodents, particularly mice, rely on visual cues, food and/or water deprivation, or other aversive stimuli to motivate task acquisition. As animals age, sensory modalities deteriorate. For example, many strains of mice develop hearing deficits or cataracts. Changes in the sensory systems required to guide mice during task acquisition present potential confounds in interpreting learning changes in aging animals. Moreover, the use of aversive stimuli to motivate animals to learn tasks is potentially confounding when comparing mice with differential sensitivities to stress. To minimize these types of confounding effects, we have implemented a modified version of the Lashley III maze. This maze relies on route learning, whereby mice learn to navigate a maze via repeated exposure under low stress conditions, e.g. dark phase, no food/water deprivation, until they navigate a path from the start location to a pseudo-home cage with 0 or 1 error(s) on two consecutive trials. We classify this as a low-stress behavior test because it does not rely on aversive stimuli to encourage exploration of the maze and learning of the task. The apparatus consists of a modular start box, a 4-arm maze body, and a goal box. At the end of the goal box is a pseudo-home cage that contains bedding similar to that found in the animal’s home cage and is specific to each animal for the duration of maze testing. It has been demonstrated previously that this pseudo-home cage provides sufficient reward to motivate mice to learn to navigate the maze1. Here, we present the visualization of the Lashley III maze procedure in the context of evaluating age-related differences in learning and memory in mice along with a comparison of learning behavior in two different background strains of mice. We hope that other investigators interested in evaluating the effects of aging or stress vulnerability in mice will consider this maze an attractive alternative to behavioral tests that involve more stressful learning tasks and/or visual cues.","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 10 for 2 month-old C57BI/6NCr, 15 for 24 month-old C57BI/6NCr, 10 for CD-1
N_TRIALS: 15
PRIORITY: Medium","(1) Individual mouse trajectories are recorded by hand, and it's possible to videotape or otherwise record maze trials for subsequent scoring. (2) The number of mice studied varies by experiment: n=10 for 2-month-old C57BI/6NCr, n=15 for 24-month-old C57BI/6NCr, n=10 for CD-1 in Figure 3, and n=10 for CD-1 in Figure 4. (3) Mice are tested once per day until criterion or a predetermined number of trials. (4) Data availability is not specified. (5) Path efficiency (learning index) and other continuous performance metrics (errors, time) are tracked over time."
"Mouse Academy: high-throughput automated training and trial-by-trial behavioral analysis during learning","https://scispace.com/paper/mouse-academy-high-throughput-automated-training-and-trial-4rrp12ga0n","2018","Posted Content","bioRxiv","Mu Qiao
Tony Zhang
Cristina Segalin
Sarah Sam
Pietro Perona
Markus Meister","10.1101/467878","https://scispace.com/pdf/mouse-academy-high-throughput-automated-training-and-trial-4rrp12ga0n.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses GLM for trial‑by‑trial strategy inference; captures abrupt strategy shifts but lacks explicit reinforcement mechanism or maze‑specific path efficiency linkage; no comparative or RL modeling.","Progress in understanding how individual animals learn will require high-throughput standardized methods for behavioral training but also advances in the analysis of the resulting behavioral data. In the course of training with multiple trials, an animal may change its behavior abruptly, and capturing such events calls for a trial-by-trial analysis of the animal9s strategy. To address this challenge, we developed an integrated platform for automated animal training and analysis of behavioral data. A low-cost and space-efficient apparatus serves to train entire cohorts of mice on a decision-making task under identical conditions. A generalized linear model (GLM) analyzes each animal9s performance at single-trial resolution. This model infers the momentary decision-making strategy and can predict the animal9s choice on each trial with an accuracy of ~80%. We also introduce automated software to assess the animal9s detailed trajectories and body poses within the apparatus. Unsupervised analysis of these features revealed unusual trajectories that represent hesitation in the response. This integrated hardware/software platform promises to accelerate the understanding of animal learning.","INDIVIDUAL_PATHS: Yes
TRIAL_DATA: Yes
DATA_ACCESS: Repository
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 4
N_TRIALS: Over 900 trials (10 sessions)
PRIORITY: High","The paper reports individual mouse trajectories and body poses using deep convolutional neural networks, revealing individual traits not apparent from simple choice sequences (lines 68-73, 241-244). It studied cohorts of mice, with a sample cohort of four animals mentioned for specific analyses (lines 24-25, 175). Each animal was trained for over 900 trials across 10 sessions (lines 124-125). The datasets analyzed in the study are available in a Google Drive repository (lines 622-624). The paper also tracks continuous performance metrics like centroid distance and orientation over time for individual animals (Fig. 5b, d, e)."
"Individual differences and family resemblances in animal behavior, a study of habit formation in various strains of mice, by Halsey J. Bagg.","https://scispace.com/paper/individual-differences-and-family-resemblances-in-animal-1nq78yelxp","1920","Monograph","","Halsey Joseph Bagg","10.5962/BHL.TITLE.20376","https://scispace.com/pdf/individual-differences-and-family-resemblances-in-animal-1nq78yelxp.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses punishment/reward to shape maze choices; reports rapid learning phases but lacks abrupt insight, path efficiency metrics, detailed trial data, or modeling.","","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 183
N_TRIALS: 360
PRIORITY: Medium","The paper reports individual mouse records for time and errors, and ""daily record curves"" for specific mice (e.g., Figs. 6, 7). A total of 183 mice were tested in the initial maze, with 71 in subsequent tests. Trials were daily, with a maximum record of 360 seconds per trial. The paper includes digitizable figures (e.g., Figs. 3-8) that show distribution curves and record curves. Path efficiency (time and errors) is tracked over time. Data availability as a raw data repository is Not specified."
"Dopaminergic neurons promote hippocampal reactivation and spatial memory persistence.","https://scispace.com/paper/dopaminergic-neurons-promote-hippocampal-reactivation-and-4sbpkiaxkh","2014","Journal Article","Nature Neuroscience","Colin G. McNamara
Álvaro Tejero-Cantero
Stéphanie Trouche
Natalia Campo-Urriza
David Dupret","10.1038/NN.3843","https://scispace.com/pdf/dopaminergic-neurons-promote-hippocampal-reactivation-and-4sbpkiaxkh.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses dopaminergic activation to boost hippocampal replay and memory persistence, measuring individual mouse path lengths, but lacks abrupt insight reports, trial‑by‑trial dynamics, explicit reinforcement‑learning models, or cross‑species comparisons.","We found that optogenetic burst stimulation of hippocampal dopaminergic fibers from midbrain neurons in mice exploring novel environments enhanced the reactivation of pyramidal cell assemblies during subsequent sleep/rest When applied during spatial learning of new goal locations, dopaminergic photostimulation improved the later recall of neural representations of space and stabilized memory performance These findings reveal that midbrain dopaminergic neurons promote hippocampal network dynamics associated with memory persistence","INDIVIDUAL_PATHS: Yes
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_IMPROVEMENT: No
N_INDIVIDUALS: 4 DATVTA::ChR2-eYFP mice
N_TRIALS: Up to 20 trials (mean=18.7; median=19.0; quartile range=18.0–20.0)
PRIORITY: High","- **Individual mouse trajectories:** The paper includes ""example single-day single-animal trajectories"" through the crossword maze (Fig. 3a).
- **Number of mice studied:** Eight DATVTA::ChR2-eYFP mice and two DATVTA::eYFP control mice were used for open-field experiments. Four DATVTA::ChR2-eYFP mice were trained on the crossword maze. Five PV-IRES-Cre+/+ adult male mice were used for a hippocampus-dependency test.
- **Number of trials or temporal resolution:** Mice had up to 20 trials (mean=18.7) to learn the maze. Open field exploration sessions were approximately 30 minutes. Rest recordings were approximately 30 minutes.
- **Data availability:** Supplementary Material is available via PubMed Central.
- **Path efficiency or other continuous performance metrics:** Path length to first reaching of the reward location was used to evaluate memory performance and was normalized by the relevant shortest possible path."
"Pharmacological modulation of stress reactivity dissociates general learning ability from the propensity for exploration","https://scispace.com/paper/pharmacological-modulation-of-stress-reactivity-dissociates-hhzdawfgco","2007","Journal Article","Behavioral Neuroscience","Henya Grossman
Gregory Hale
Kenneth Light
Stefan Kolata
David A. Townsend
Yael Goldfarb
Alexander W. Kusnecov
Louis D. Matzel","10.1037/0735-7044.121.5.949","https://scispace.com/pdf/pharmacological-modulation-of-stress-reactivity-dissociates-hhzdawfgco.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses food reward to drive alternation learning, but lacks abrupt insight reports, individual path efficiency metrics, detailed trial‑by‑trial dynamics, and any modeling or cross‑species comparisons.","It has previously been reported that general learning ability (GLA) correlates positively with exploratory tendencies in individual outbred mice. This finding suggests the possibility that variations in stress reactivity modulate GLA and thus its relationship to exploratory tendencies. Here, the authors investigated the potential role of stress reactivity in regulating this relationship by assessing the effects of the anxiolytic chlorodiazepoxide (CDP; 10 mg/kg) on subjects' performance in a battery of diverse learning tasks as well as exploratory behaviors and stress reactivity. CDP-treated mice exhibited reductions in stress-induced corticosterone levels and behavioral reactivity to mild stressors and a corresponding increase in exploration. However, CDP-treated mice did not exhibit facilitated acquisition of any of the learning tasks and expressed GLA comparable to controls. Results indicate that although reduced stress reactivity promotes exploration, this does not translate into an up-regulation of GLA, suggesting that the relationship between GLA and exploration is not mediated by stress reactivity. The authors propose that variations in GLA reflect individuals' propensity for novelty seeking, whereas exploration reflects both stress reactivity and novelty seeking, the latter of which may underlie the relationship between exploration and GLA.","INDIVIDUAL_PATHS: No
TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 30
N_TRIALS: 14 (Reinforced Alternation), 10 (Spatial Plus-Maze), 10 (Water Maze), 5 (Lashley III Maze), 4 (Odor Discrimination)
PRIORITY: Medium","- **Individual mouse trajectories:** Not specified if individual mouse trajectories are reported.
- **Number of mice studied:** A sample of 30 male outbred CD-1 mice.
- **Number of trials or temporal resolution:** Varies by task; e.g., Lashley III maze (5 trials), Reinforced Alternation (14 trials), Water Maze (10 trials over 2 days), Open Field (4 min), Dark-Light Test (4 min).
- **Data availability:** Not addressed in this paper.
- **Path efficiency or other continuous performance metrics tracked over time:** Yes, metrics like latency, errors, and percentage of entries into quadrants are tracked across trials or over specific time periods."
"Intelligent Adaptive Learning in a Changing Environment","https://scispace.com/paper/intelligent-adaptive-learning-in-a-changing-environment-3p8tgjpkzo","2014","Proceedings Article","International Conference on Computer Science and Information Technology","Guillaume Valentis
Quentin Berthelot","10.5121/CSIT.2014.4921","https://scispace.com/pdf/intelligent-adaptive-learning-in-a-changing-environment-3p8tgjpkzo.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reinforcement learning for robot maze navigation, but focuses on robots, lacks mouse data, abrupt insight reports, individual path metrics, trial‑by‑trial dynamics, and comparative modeling.","","INDIVIDUAL_PATHS: No
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 1
N_TRIALS: 21
PRIORITY: High","The paper simulates a robot in a labyrinth, not mice.
(1) Individual robot trajectories are not reported, but probability curves for paths are shown.
(2) Not applicable, as a single robot simulation is described.
(3) Simulations are performed for 'n' runs (e.g., n=10, n=21) to observe probability evolution. Temporal resolution is not specified beyond 'runs'.
(4) Data availability is not specified; no raw data repository or supplementary files are mentioned. Figures are digitizable.
(5) Path efficiency is implicitly tracked through probability changes over runs for various paths."
"Exploration in outbred mice covaries with general learning abilities irrespective of stress reactivity, emotionality, and physical attributes","https://scispace.com/paper/exploration-in-outbred-mice-covaries-with-general-learning-2f6y9pfdlg","2006","Journal Article","Neurobiology of Learning and Memory","Louis D. Matzel
David A. Townsend
Henya Grossman
Yu Ray Han
Gregory Hale
Melissa Zappulla
Kenneth Light
Stefan Kolata","10.1016/J.NLM.2006.03.004","http://davidatownsend.com/resources/Neurobiology-of-Learning-and-Memory-2006.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses food pellets as reinforcement; records latency/errors each trial but lacks abrupt insight, individual path efficiency metrics, and explicit integration of reinforcement with sudden performance jumps. No computational models or cross-species comparisons.","","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: Figures
SUDDEN_IMPROVEMENT: Unclear
N_INDIVIDUALS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata.","Not specified for individual mouse trajectories, number of mice, number of trials or temporal resolution, or whether path efficiency or other continuous performance metrics are tracked over time. Data availability includes a fulltext URL (http://davidatownsend.com/resources/Neurobiology-of-Learning-and-Memory-2006.pdf) and HTML links (https://www.ncbi.nlm.nih.gov/pubmed/16650783, https://www.sciencedirect.com/science/article/pii/S1074742706000335)."
"Composing trajectories for rapid inference of navigational goals","https://scispace.com/paper/composing-trajectories-for-rapid-inference-of-navigational-7vrwpr8lbdg7","2025","Journal Article","","Nada Y. Abdelrahman
Wan-chen Jiang
Luke T. Coddington
Sheng Gong
Joshua T. Dudman
Ann M. Hermundstad","10.1101/2025.09.24.678123","","- **Relevance Score:** 7/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Bayesian inference to learn anchor points, generating efficient trajectories; provides trial‑by‑trial trajectory data but lacks reinforcement mechanisms and explicit abrupt insight links.","Animals efficiently learn to navigate their environment. In the laboratory, naive mice explore their environment via highly structured trajectories and can learn to localize new spatial targets in as few as a handful of trials. It is unclear how such efficient learning is possible, since existing computational models of spatial navigation require far more experience to achieve comparable performance and do not attempt to explain the evolving structure of animal behavior during learning. To inform a new algorithm for rapid learning of navigational goals, we took inspiration from the reliable structure of behavior as mice learned to intercept hidden spatial targets. We designed agents that generate behavioral trajectories by controlling the speed and angular velocity of smooth path segments between anchor points. To rapidly learn good anchors, we use Bayesian inference on the history of rewarded and unrewarded trajectories to infer the probability that an anchor will be successful, and active sampling to trim hypothesized anchors. Agents learn within tens of trials to generate compact trajectories that intercept a target, capturing the evolution of behavioral structure and matching the upper limits of learning efficiency observed in mice. We further show that this algorithm can explain how mice avoid obstacles and rapidly adapt to target switches. Finally, we show that this framework naturally encompasses both egocentric and allocentric strategies for navigation. ","",""
"Robust Decision-Making in Spatial Learning: A Comparative Study of
  Successor Features and Predecessor Features Algorithms","https://scispace.com/paper/robust-decision-making-in-spatial-learning-a-comparative-ci2h9tlf","2023","Posted Content","","Gongyi Zhang","10.48550/arxiv.2304.06894","https://scispace.com/pdf/robust-decision-making-in-spatial-learning-a-comparative-ci2h9tlf.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Successor and Predecessor Features RL algorithms, but focuses on robot/AI simulations, not mouse maze data; no abrupt learning or trial‑by‑trial mouse analysis; includes computational modeling of RL dynamics.","Predictive map theory, one of the theories explaining spatial learning in animals, is based on successor representation (SR) learning algorithms. In the real world, agents such as animals and robots are subjected to noisy observations, which can lead to suboptimal actions or even failure during learning. In this study, we compared the performance of Successor Features (SFs) and Predecessor Features (PFs) algorithms in a noisy one-dimensional maze environment. Our results demonstrated that PFs consistently outperformed SFs in terms of cumulative reward and average step length, with higher resilience to noise. This superiority could be due to PFs' ability to transmit temporal difference errors to more preceding states. We also discuss the biological mechanisms involved in PFs learning for spatial navigation. This study contributes to the theoretical research on computational neuroscience using reinforcement learning algorithms, and highlights the practical potential of PFs in robotics, game AI, and autonomous vehicle navigation. ","",""
"L(M)V-IQL: Multiple Intention Inverse Reinforcement Learning for Animal Behavior Characterization","https://scispace.com/paper/l-m-v-iql-multiple-intention-inverse-reinforcement-learning-3zfxxyymqh","2023","Preprint","","Hancheng Zhu
Brice de la Crompe
Gabriel Kalweit
Artur Schneider
Maria Kalweit
Ilka Diester
Joschka Boedecker","10.48550/arxiv.2311.13870","","- **Relevance Score:** 7/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses IRL to infer mouse reward functions, but lacks maze-specific reinforcement, abrupt learning, trial‑by‑trial or comparative analyses.","In advancing the understanding of decision-making processes, Inverse Reinforcement Learning (IRL) have proven instrumental in reconstructing animal's multiple intentions amidst complex behaviors. Given the recent development of a continuous-time multi-intention IRL framework, there has been persistent inquiry into inferring discrete time-varying rewards with IRL. To tackle the challenge, we introduce Latent (Markov) Variable Inverse Q-learning (L(M)V-IQL), a novel class of IRL algorthms tailored for accommodating discrete intrinsic reward functions. Leveraging an Expectation-Maximization approach, we cluster observed expert trajectories into distinct intentions and independently solve the IRL problem for each. Demonstrating the efficacy of L(M)V-IQL through simulated experiments and its application to different real mouse behavior datasets, our approach surpasses current benchmarks in animal behavior prediction, producing interpretable reward functions. This advancement holds promise for neuroscience and cognitive science, contributing to a deeper understanding of decision-making and uncovering underlying brain mechanisms. ","",""
"Extinction burst could be explained by curiosity-driven reinforcement learning","https://scispace.com/paper/extinction-burst-could-be-explained-by-curiosity-driven-4f1160t535j6","2024","Journal Article","bioRxiv","Kota Yamada
Hiroshi Matsui
Koji Toda","10.1101/2024.08.28.610088","","- **Relevance Score:** 7/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Offers curiosity‑driven RL model and trial‑by‑trial extinction‑burst data, but lacks maze context, path efficiency metrics, and abrupt insight linkage.","Curiosity encourages agents to explore their environment, leading to learning opportunities. Although psychology and neurobiology have tackled how external rewards control behavior, how intrinsic factors control behavior remains unclear. An extinction burst is a behavioral phenomenon in which a sudden increase in the frequency of a behavior immediately follows the omission of a reward. Although the extinction burst is textbook knowledge in psychology, there is little empirical evidence of it in experimental situations. In this study, we show that the extinction burst can be explained by curiosity by combining computational modeling of behavior and empirical demonstrations in mice. First, we built a reinforcement learning model incorporating curiosity, defined as expected reward prediction errors, and the model additively controlled the agent’s behavior to the primary reward. Simulations revealed that the curiosity-driven reinforcement learning model produced an extinction burst and burst intensity depended on the reward probability. Second, we established a behavioral procedure that captured extinction bursts in an experimental setup using mice. We conducted an operant conditioning task with head-fixed mice, in which the reward followed after pressing a lever at a given probability. After the training sessions, we occasionally withheld the reward delivery when the mice performed the task. We found that phasic bursts of responses occurred immediately after reward omission when responses were rewarded with a high probability, suggesting that the magnitude of reward prediction errors controlled the burst. These results provide theoretical and experimental evidence that intrinsic factors control behavior in adapting to an ever-changing environment. Significance statement In theories of learning and behavior, primary rewards such as food, water, and sex occupy a dominant position as factors controlling behavior. However, primary rewards are scarce. Experimental investigations in psychology, neuroscience, ethology, and economics have revealed that novelty, uncertainty, and unpredictability drive behavior. How these intrinsic factors affect behavior is essential for a comprehensive understanding of the principles of learning and behavior. This study provides theoretical and experimental evidence that operant responses in mice are directly controlled by external rewards and intrinsic factors such as curiosity. Our study provides a robust example of curiosity-driven behavior and paves the way for understanding the mechanism of curiosity.","",""
"Biological Intelligence: From Behavior to Learning Theory","https://scispace.com/paper/dh7RRbucTw0J","","","","T Zhang","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper mentions a binary tree maze and reinforcement‑learning references but lacks detailed mechanisms, abrupt learning evidence, individual path metrics, trial‑by‑trial data, or integrated analysis.","","",""
"Bridging Philosophy and Neuroscience: How Behavioral Experiments Inform a Recent Theory of Animal Consciousness","https://scispace.com/paper/ujP8TJhk_q0J","","","","QA Qureshi","","https://digitalcommons.dartmouth.edu/cgi/viewcontent.cgi?article=1001&context=cognitive-science_senior_theses","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Mentions reinforcement learning in rats but lacks mouse maze data, abrupt insight, individual path metrics, trial‑by‑trial dynamics, or computational/ comparative modeling.","","",""
"Predictive maps in rats and humans for spatial navigation","https://scispace.com/paper/predictive-maps-in-rats-and-humans-for-spatial-navigation-5dltzg9dnm","2020","Posted Content","bioRxiv","William de Cothi
Nils Nyberg
Eva-Maria Griesbauer
Carole Ghanamé
Fiona Zisch
Julie M. Lefort
Lydia Fletcher
Charlotte Coco Newton
Sophie Renaudineau
Daniel Bendor
Roddy M. Grieves
Éléonore Duvelle
Caswell Barry
Hugo J. Spiers","10.1101/2020.09.26.314815","https://scispace.com/pdf/predictive-maps-in-rats-and-humans-for-spatial-navigation-5dltzg9dnm.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses RL agents (successor representation) to compare rats and humans, but no mouse data, no reinforcement mechanism driving mouse behavior, nor abrupt learning or trial‑by‑trial path efficiency. Includes computational modeling and cross‑species comparison.","Much of our understanding of navigation has come from the study of rats, humans and simulated artificial agents. To date little attempt has been made to integrate these approaches into a common framework to understand mechanisms that may be shared across mammals and the extent to which different instantiations of agents best capture mammalian navigation behaviour. Here, we report a comparison of rats, humans and reinforcement learning (RL) agents in a novel open-field navigation task (‘Tartarus Maze’) requiring dynamic adaptation (shortcuts and detours) to changing obstructions in the path to the goal. We find humans and rats are remarkably similar in patterns of choice in the task. The patterns in their choices, dwell maps and changes over time reveal that both species show the greatest similarity to RL agents utilising a predictive map: the successor representation. Humans also display trajectory features similar to a model-based RL agent. Our findings have implications for models seeking to explain mammalian navigation in dynamic environments and highlight the utility of modelling the behaviour of different species in the same frame-work in comparison to RL agents to uncover the potential mechanisms used for behaviour.","",""
"Insights into conscious cognitive","https://scispace.com/paper/EWeEE-ATCecJ","","","","E Dere","","https://d-nb.info/135626591X/34","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses reinforcement learning concepts and mentions continuous vs. discontinuous performance, but lacks mouse maze data, individual path metrics, trial‑by‑trial details, and integrated analysis.","","",""
"Sequences of cortical activation states encode search strategies during spatial navigation","https://scispace.com/paper/owSz_IlYEPgJ","","","","ML Rynes","","https://conservancy.umn.edu/bitstreams/0a968513-b3d0-4fe9-994d-1fe2295239de/download","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on cortical activation patterns encoding search strategies, without detailing reinforcement mechanisms, abrupt performance jumps, individual path metrics, trial‑by‑trial dynamics, or computational/ comparative modeling.","","",""
"DOCTORADO EN CIENCIAS BIOMÉDICAS INSTITUTO DE NEUROBIOLOGÍA","https://scispace.com/paper/NrWrzA2C7AwJ","","","","IDELAS NEURONA-MICROGLIA
FAM SALCIDO","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides only a title and generic DOI references; lacks details on reinforcement, abrupt learning, individual paths, trial‑by‑trial data, modeling, or comparisons.","","",""
"Decoding hidden goal-directed navigational states and their neuronal representations using a novel labyrinth paradigm and probabilistic modeling framework","https://scispace.com/paper/An83NQAa_W8J","","","","PS Honma
SC Bangera
R Thomas
N Kaliss
D Xia","","https://www.biorxiv.org/content/biorxiv/early/2025/11/14/2025.11.13.688348.full.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes each mouse's path length, but lacks reinforcement mechanisms, abrupt insight reporting, trial‑by‑trial dynamics, and integrated modeling; no computational or comparative components.","","",""
"Intentions and creative insights: a reinforcement learning study of creative exploration in problem-solving.","https://scispace.com/paper/mMi9mIyqjAAJ","","","","TR Colin","","https://pearl.plymouth.ac.uk/context/secam-theses/article/1008/viewcontent/2020colin10492198phd.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses reinforcement learning theory to explain creative insight, but focuses on human problem‑solving, not mouse maze data; lacks abrupt performance jumps, individual path metrics, trial‑by‑trial mouse data, and direct integration of RL with sudden improvements. Includes some computational modeling of insight dynamics.","","",""
"Time and probability in the mouse","https://scispace.com/paper/time-and-probability-in-the-mouse-21u8tzxg7c","2014","","","Aaron Kheifets","10.7282/T3154F4T","https://scispace.com/pdf/time-and-probability-in-the-mouse-21u8tzxg7c.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on mice timing mechanisms and probability, without maze navigation, reinforcement learning, or trial‑by‑trial path data.","","",""
"Optimization of apparatus design and behavioral measures for the assessment of visuo-spatial learning and memory of mice on the Barnes maze","https://scispace.com/paper/optimization-of-apparatus-design-and-behavioral-measures-for-1nlda86f9w","2013","Journal Article","Learning & Memory","Timothy P. O'Leary
Richard E. Brown","10.1101/LM.028076.112","https://scispace.com/pdf/optimization-of-apparatus-design-and-behavioral-measures-for-1nlda86f9w.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses detailed path‑recording and trial‑by‑trial performance metrics, but lacks reinforcement mechanisms, abrupt insight reporting, and integrated modeling linking reinforcement to sudden improvements.","We have previously shown that apparatus design can affect visual-spatial cue use and memory performance of mice on the Barnes maze. The present experiment extends these findings by determining the optimal behavioral measures and test procedure for analyzing visuo-spatial learning and memory in three different Barnes maze designs. Male and female C57BL/6J mice were trained with a stable or random escape hole location and the sensitivities (statistical power) of four commonly used measures of learning and three measures of memory to detect differences between these training procedures were compared on each maze design. A maze design with a large diameter and no wall was optimal, because mice showed a reliable use of extra-maze visual cues, visuo-spatial search strategies, and spatial memory. A maze design with a small diameter, surrounding wall, and intra-maze visual cues was the least sensitive for determining visuo-spatial learning and memory, because mice showed little evidence of extra-maze cue use. Errors, distance traveled, and hole deviation scores were more sensitive measures of learning than latency to find the escape hole. Measures based on locating the escape hole (primary measures) were more sensitive than measures based on entering the escape hole (total measures). Measures of memory had similar levels of sensitivity on each maze. This experiment demonstrates that both apparatus design and the behavioral measures used as indicators of learning and memory can influence the ability of the Barnes maze to detect visuo-spatial learning and memory impairments in mice.","",""
"Reinforcement learning in biological systems for adaptive regulation","https://scispace.com/paper/reinforcement-learning-in-biological-systems-for-adaptive-5g8omyf7jt","2023","Preprint","","Tomoyuki Yamaguchi","10.21203/rs.3.rs-3571702/v1","https://www.researchsquare.com/article/rs-3571702/latest.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on theoretical RL in biological processes (immunity, chemotaxis, predator‑prey) without mouse maze experiments, abrupt learning, or trial‑by‑trial path analysis.","Abstract The adaptive control of complex biological systems remains unclear despite extensive research on their regulatory networks. We recently reported that epigenetic regulation of gene expression may be a learning process, in which amplification-and-decay cycles optimize expression patterns while basically maintaining current patterns. Here, we show that various biological processes, such as intestinal immunity, population dynamics, chemotaxis, and self-organization, are also characterized as reinforcement learning (RL) processes. An appropriate population balance is established autonomously through symmetric competitive amplification and decay, which is a biologically plausible RL process. Monte Carlo simulations of predator-prey numbers show that population dynamics based on this RL process enable the sustainability of predators and reproduce fluctuations with a phase delay when humans hunt prey more preferentially than predators. Another example is a random walk controlling step-length (s-rw), which allows the agent to approach the target position with a Levy walk trajectory. In addition, shortcut paths in a maze are autonomously generated by s-rw using a moving-direction policy or bias, which is optimized through another RL on a longer timescale. Furthermore, by applying s-rw to reaction-diffusion theory, Turing patterns can be self-organized. The RL process, expressed by a common mathematical equation, enables the adaptability of biological systems. ","",""
