"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Cognitive neuroscience and miniature brains—Dissecting higher-order learning in the brain of honey bees","https://scispace.com/paper/0D-nV6xm5x8J","","","","M Giurfa","","","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to explore higher-order learning and transfer to novel stimuli; provides neural discussion and detailed methods, but does not address same/different concepts or cross-species comparisons, and individual trial data are limited.",""
"Category difference facilitates oddity learning in honeybees (Apis mellifera).","https://scispace.com/paper/category-difference-facilitates-oddity-learning-in-honeybees-3fan63jydx","2020","Journal Article","Journal of Comparative Psychology","Nicole M. Muszynski
P. A. Couvillon","10.1037/COM0000228","","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to study oddity (same/different) learning; category cues aid discrimination. Provides detailed stimulus and apparatus description, but lacks per‑bee transfer metrics or neural data.","Performance of honeybees resembles that of vertebrates in a variety of associative learning experiments. Recent work has focused on relational learning phenomena not easily explained by associative principles, including same/different problems, the simplest of which is the oddity problem. Free-flying bees were trained to visit a laboratory window and were rewarded for choice of the odd stimulus among a set of stimuli. There were two stimulus categories, single-color solids and two-color patterns. The training was trial-unique, with new sets of stimuli on each trial. In Experiment 1, 4 groups were trained in a 3-stimulus oddity problem, 2 with solid odd and patterns nonodd and 2 with pattern odd and solids nonodd. For 1 group in each condition, the odd and nonodd stimuli shared a color. The performance of all groups was better than chance. The bees could solve the problem on the basis of oddity (same vs. different) or category (solid vs. pattern). These possibilities were unconfounded in Experiment 2 with 2 groups trained in a 4-stimulus oddity problem. Group 1 was trained with a category difference on each trial; the solid color was odd on half the trials and the pattern odd on the others. Group 2 was trained with no category difference; all stimuli were patterns. Both groups showed better-than-chance performance, and the irrelevant category difference facilitated oddity discrimination for Group 1. The results support previous findings of oddity learning in honeybees, the only invertebrate species for which any relational learning phenomena have been demonstrated. (PsycInfo Database Record (c) 2020 APA, all rights reserved)."
"Minds without spines: Evolutionarily inclusive animal ethics","https://scispace.com/paper/minds-without-spines-evolutionarily-inclusive-animal-ethics-40ruz8r28y","2020","Journal Article","","Irina Mikhalevich
Russell Powell","10.51291/2377-7478.1527","https://scispace.com/pdf/minds-without-spines-evolutionarily-inclusive-animal-ethics-40ruz8r28y.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highlights honeybee cognition and cross‑species comparisons, but lacks individual trial data or detailed transfer metrics; offers conceptual and neural context without experimental specifics.","Invertebrate animals are frequently lumped into a single category and denied welfare protections despite their considerable cognitive, behavioral, and evolutionary diversity. Some ethical and policy inroads have been made for cephalopod molluscs and crustaceans, but the vast majority of arthropods, including the insects, remain excluded from moral consideration. We argue that this exclusion is unwarranted given the existing evidence. Anachronistic readings of evolution, which view invertebrates as lower in the scala naturae, continue to influence public policy and common morality. The assumption that small brains are unlikely to support cognition or sentience likewise persists, despite growing evidence that arthropods have converged on cognitive functions comparable to those found in vertebrates. The exclusion of invertebrates is also motivated by cognitive-affective biases that covertly influence moral judgment, as well as a flawed balancing of scientific uncertainty against moral risk. All these factors shape moral attitudes toward basal vertebrates too, but they are particularly acute in the arthropod context. Moral consistency dictates that the same standards of evidence and risk management that justify policy protections for vertebrates also support extending moral consideration to certain invertebrates. Moving beyond a vertebrate-centered conception of welfare can also clarify foundational moral concepts in their"
"Visual discrimination transfer and modulation by biogenic amines in honeybees","https://scispace.com/paper/visual-discrimination-transfer-and-modulation-by-biogenic-2d3j074qxv","2018","Journal Article","The Journal of Experimental Biology","Amanda Rodrigues Vieira
Nayara Salles
Marco Aurélio de Faria Borges
Theo Mota","10.1242/JEB.178830","https://www.researchgate.net/profile/Theo-Mota/publication/323882820_Visual_discrimination_transfer_and_modulation_by_biogenic_amines_in_honeybees/links/5b042e35aca2720ba099b5cb/Visual-discrimination-transfer-and-modulation-by-biogenic-amines-in-honeybees.pdf","- **Relevance Score:** 29/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to test visual discrimination transfer in a Y‑maze; shows context‑independent memory and pharmacological modulation by dopamine and octopamine, but does not address same/different abstract concepts or individual‑level trial data.","For more than a century, visual learning and memory have been studied in the honeybee Apis mellifera using operant appetitive conditioning. Although honeybees show impressive visual learning capacities in this well-established protocol, operant training of free-flying animals cannot be combined with invasive protocols for studying the neurobiological basis of visual learning. In view of this, different attempts have been made to develop new classical conditioning protocols for studying visual learning in harnessed honeybees, though learning performance remains considerably poorer than that for free-flying animals. Here, we investigated the ability of honeybees to use visual information acquired during classical conditioning in a new operant context. We performed differential visual conditioning of the proboscis extension reflex (PER) followed by visual orientation tests in a Y-maze. Classical conditioning and Y-maze retention tests were performed using the same pair of perceptually isoluminant chromatic stimuli, to avoid the influence of phototaxis during free-flying orientation. Visual discrimination transfer was clearly observed, with pre-trained honeybees significantly orienting their flights towards the former positive conditioned stimulus (CS+), thus showing that visual memories acquired by honeybees are resistant to context changes between conditioning and the retention test. We combined this visual discrimination approach with selective pharmacological injections to evaluate the effect of dopamine and octopamine in appetitive visual learning. Both octopaminergic and dopaminergic antagonists impaired visual discrimination performance, suggesting that both these biogenic amines modulate appetitive visual learning in honeybees. Our study brings new insight into cognitive and neurobiological mechanisms underlying visual learning in honeybees."
"Learning of Abstract Concepts and Rules by the Honeybee","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://scispace.com/pdf/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on honeybee abstract rule learning (order) and transfer to novel patterns, with per‑bee accuracy and detailed maze/visual stimulus description, but does not address same/different concepts, abrupt learning jumps, neural mechanisms, or cross‑species comparisons.","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is be- ginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and ""cognitive"" capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee's ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific infor- mation while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee's remarkable behaviors. The worker honeybee possesses a tiny brain that occupies a volume of about one cubic millimeter, weighs about one milligram and contains not more than a million neurons. Nevertheless, this creature, by virtue of its lifestyle, is a spectacu- larly suitable organism for studying the principles of pattern recognition and navi- gation, as well as of learning in a more general sense (von Frisch, 1971, 1993; Menzel, 1990). Gathering nectar and pollen is the raison d'etre of a forager's exis- tence. Since the species of flowers that are in bloom, say, this week are likely to be replaced by a different species at a different location next week, the bee needs, and has indeed evolved, an impressive ability to learn colors, odors, shapes and routes quickly and accurately (Chittka, Vorobyev, Shmida, & Menzel 1993; Lehrer, Hor- ridge, Zhang, & Gadagkar, 1995; Vorobyev & Menzel, 1999; Wehner, 1981). A bee can learn a new odor in just a few visits, a new color in about half an hour (af- ter it has made about five visits to collect a food reward), a new pattern in about half a day (after 20-30 rewarded visits), and a new route to a food source in about 3-4 visits (provided the route is not through a complex labyrinth). The underlying navigational skills that make this learning possible require extensive, perceptual, information processing, and storage mechanisms which, in turn, allow bees to dis- play perceptual and ""cognitive"" abilities that are surprisingly rich, complex and flexible (Collett & Collett, 2002; Giurfa, 2003; Menzel & Muller, 1996; Srinivasan & Zhang, 1998, Zhang & Srinivasan, 2004a, 2004b). The present article reviews recent studies that have challenged the percep- tual capacities of honeybees by asking if bees can, for instance, learn abstract rules by which to navigate mazes, learn and generalize abstract concepts, categorize complex visual objects, or acquire and memorize task-specific information when faced with a complex problem. This review discusses some key examples of recent"
"Conceptualization of above and below relationships by an insect","https://scispace.com/paper/conceptualization-of-above-and-below-relationships-by-an-4d29xtzg50","2011","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Adrian G. Dyer
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2010.1891","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to test above/below relational learning; demonstrates transfer to novel stimuli and details visual stimulus setup, but does not address same/different concepts, individual trial data, or neural/comparative analyses.","Relational rules such as ‘same’ or ‘different’ are mastered by humans and non-human primates and are considered as abstract conceptual thinking as they require relational learning beyond perceptual generalization. Here, we investigated whether an insect, the honeybee (Apis mellifera), can form a conceptual representation of an above/below spatial relationship. In experiment 1, bees were trained with differential conditioning to choose a variable target located above or below a black bar that acted as constant referent throughout the experiment. In experiment 2, two visual stimuli were aligned vertically, one being the referent, which was kept constant throughout the experiment, and the other the target, which was variable. In both experiments, the distance between the target and the referent, and their location within the visual field was systematically varied. In both cases, bees succeeded in transferring the learned concept to novel stimuli, preserving the trained spatial relation, thus showing an ability to manipulate this relational concept independently of the physical nature of the stimuli. Absolute location of the referent into the visual field was not a low-level cue used by the bees to solve the task. The honeybee is thus capable of conceptual learning despite having a miniature brain, showing that such elaborated learning form is not a prerogative of vertebrates."
"Conceptual learning by miniature brains","https://scispace.com/paper/conceptual-learning-by-miniature-brains-47bquqp0ed","2013","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2013.1907","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review summarizes bee concept learning and possible neural bases, but lacks original individual‑bee transfer data, trial‑by‑trial results, or abrupt learning curves.","Concepts act as a cornerstone of human cognition. Humans and non-human primates learn conceptual relationships such as ‘same’, ‘different’, ‘larger than’, ‘better than’, among others. In all cases, the relationships have to be encoded by the brain independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high levels of cognitive sophistication and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honeybees rapidly learns conceptual relationships involving visual stimuli. Concepts such as ‘same’, ‘different’, ‘above/below of’ or ‘left/right are well mastered by bees. We review here evidence about concept learning in honeybees and discuss both its potential adaptive advantage and its possible neural substrates. The results reviewed here challenge the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts and have wide implications for understanding how brains can form conceptual relations."
"Bees and abstract concepts","https://scispace.com/paper/bees-and-abstract-concepts-9biaz0ezab","2021","Journal Article","Current opinion in behavioral sciences","Michael F. Brown
Bridget P Austin","10.1016/J.COBEHA.2020.12.002","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews honeybee abstract concept work, focusing on same/different discrimination and transfer, but lacks individual trial data, abrupt learning jumps, and neural mechanisms; includes some methodological and comparative context.","Empirical work related to abstract concepts in honey bee and bumble bee discrimination performance is reviewed. Experiments showing behavioral transfer of numerosity discrimination, relational learning, and same/different discrimination are described. In each case, the attribution of such results to abstract conceptual representations is consistent with the data, but alternative explanations also exist. The complex, sophisticated discrimination abilities of bees challenge some of the explanations applied to corresponding abilities in humans and other non-human animals."
"Honeybee Cognition: Aspects of Learning, Memory and Navigation in a Social Insect","https://scispace.com/paper/honeybee-cognition-aspects-of-learning-memory-and-navigation-38px95sio5","2011","","","Mario Pahl","","https://scispace.com/pdf/honeybee-cognition-aspects-of-learning-memory-and-navigation-38px95sio5.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on honeybee learning paradigms, uses Y‑maze and DMTS, shows rule transfer to novel stimuli, but lacks same/different concepts and detailed individual trial data.","Honeybees (Apis mellifera) forage on a great variety of plant species, navigate over large distances to crucial resources, and return to communicate the locations of food sources and potential new nest sites to nest mates using a symbolic dance language. In order to achieve this, honeybees have evolved a rich repertoire of adaptive behaviours, some of which were earlier believed to be restricted to vertebrates. In this thesis, I explore the mechanisms involved in honeybee learning, memory, numerical competence and navigation. The findings acquired in this thesis show that honeybees are not the simple reflex automats they were once believed to be. The level of sophistication I found in the bees’ memory, their learning ability, their time sense, their numerical competence and their navigational abilities are surprisingly similar to the results obtained in comparable experiments with vertebrates. Thus, we should reconsider the notion that a bigger brain automatically indicates higher intelligence."
"Rapid learning dynamics in individual honeybees during classical conditioning.","https://scispace.com/paper/rapid-learning-dynamics-in-individual-honeybees-during-2ayuax1wrw","2014","Journal Article","Frontiers in Behavioral Neuroscience","Evren Pamir
Evren Pamir
Paul Szyszka
Ricarda Scheiner
Martin P. Nawrot","10.3389/FNBEH.2014.00313","https://scispace.com/pdf/rapid-learning-dynamics-in-individual-honeybees-during-2ayuax1wrw.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee classical conditioning to map rapid, trial‑by‑trial learning curves; provides detailed methods and individual data, but lacks same/different concept or transfer analysis.","Associative learning in insects has been studied extensively by a multitude of classical conditioning protocols. However, so far little emphasis has been put on the dynamics of learning in individuals. The honeybee is a well-established animal model for learning and memory. We here studied associative learning as expressed in individual behavior based on a large collection of data on olfactory classical conditioning (25 datasets, 3,298 animals). We show that the group-averaged learning curve and memory retention score confound three attributes of individual learning: the ability or inability to learn a given task, the generally fast acquisition of a conditioned response in learners, and the high stability of the conditioned response during consecutive training and memory retention trials. We reassessed the prevailing view that more training results in better memory performance and found that 24h memory retention can be indistinguishable after single-trial and multiple-trial conditioning in individuals. We explain how inter-individual differences in learning can be accommodated within the Rescorla-Wagner theory of associative learning. In both data-analysis and modeling we demonstrate how the conflict between population-level and single-animal perspectives on learning and memory can be disentangled."
"Learning of Abstract Concepts and Rules by the Honeybee - eScholarship","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-2jd34ursa4","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://scispace.com/pdf/learning-of-abstract-concepts-and-rules-by-the-honeybee-2jd34ursa4.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to learn abstract order rules, reports per‑bee accuracy on novel patterns, includes detailed Y‑maze setup, but does not address same/different concepts, abrupt learning jumps, neural mechanisms, or cross‑species comparisons.","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is beginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and “cognitive” capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee’s ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific information while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee’s remarkable behaviors."
"Learning of sameness/difference relationships by honey bees: performance, strategies and ecological context","https://scispace.com/paper/learning-of-sameness-difference-relationships-by-honey-bees-56rwbegz47","2021","Journal Article","Current opinion in behavioral sciences","Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1016/J.COBEHA.2020.05.008","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews bee concept learning and transfer, confirming species focus and abstract‑concept relevance, but lacks original individual trial data, abrupt learning signatures, neural mechanisms, and detailed new methodology.","Humans and non-human primates learn conceptual relationships such as ‘same’ and ‘different, which have to be encoded independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high-level cognition and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honey bees also learns the conceptual relationships of sameness and difference and transfers these relationships to novel stimuli. We review evidence about sameness/difference learning in bees and analyze its adaptive value within an ecological context. The experiments reviewed cannot be accounted for by low-level strategies and challenge, therefore, the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts."
