"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Simulating procedural discovery in early language acquisition: Domain-general cognition with contextual learning.","https://scispace.com/paper/40692374","2025","Journal Article","Journal of child language","Ji
van Rij
Taatgen","10.1017/S0305000925100159","","We present a simulation study based on a cognitive architecture that unifies various early language acquisition phenomena in laboratory and naturalistic settings. The model adaptively learns procedures through trial-and-error using general-purpose operators, guided by learned contextual associations to optimise future performance. For laboratory-based studies, simulated preferential focusing explains the delayed behavioural onset of statistical learning and the possible age-related decrease in algebraic processing. These findings suggest a link to continuous, implicit learning rather than explicit strategy acquisition. Moreover, procedures are not static but can evolve over time, and multiple plausible procedures may emerge for a given task. Besides, the same model provides a proof-of-concept for word-level phonological learning from naturalistic infant-directed speech, demonstrating how age-related processing efficiency may influence learning trajectories implicated in typical and atypical early language development. Furthermore, the artile discusses the broader implications for modelling other aspects of real-world language acquisition."
"Individual Differences in Statistical Learning and Semantic Adaptation: An N400 Study.","https://scispace.com/paper/40767276","2025","Journal Article","Psychophysiology","Munding
Forgács
Lukics
Lukács","10.1111/psyp.70125","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12326519/pdf","Recent empirical results have linked the N400 ERP with predictive language comprehension processes based on statistical learning (SL). However, links between SL abilities and N400 on the level of individual differences have so far been underexplored. The present study tested SL performance in 29 participants using speech segmentation and artificial grammar learning tasks, followed by EEG recordings of their N400 responses to sentences varying in cloze probability (high, intermediate, low). Mixed-effects models revealed that better online SL performance (SL-ON) was associated with larger N400 amplitudes across conditions. Additionally, working memory showed a significant main effect and interacted with SL-ON in modulating N400 amplitude, while cloze probability also had a robust, independent effect on it. These results demonstrate that individual differences in SL abilities contribute to N400 response variability, supporting the view that the semantic operations reflected by the N400 may involve some form of statistical learning as well. Our findings also raise the possibility that SL and CP tap into distinct levels of predictive mechanisms in language comprehension."
"A State-Transition-Free Delayed-Feedback Task Elicits Heterogeneous Human Responses.","https://scispace.com/paper/40687515","2025","Journal Article","Journal of cognition","Hirata
Sato
Kuroshima
Sakai","10.5334/joc.453","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12273688/pdf","Humans and nonhuman animals learn to perform actions by associating actions with outcomes. In everyday life, outcomes sometimes occur only after a delay, and at an unexpected moment. The ability to connect actions and delayed outcomes has received less attention than performance in tasks where rewards follow the most recent action. Here, following a previous study (Sato et al. 2023), we designed a learning task to investigate humans' ability to link actions and outcomes which occurred after intervening choices. We prepared a total of six visual stimuli for use in three types of trials: A vs B, where choosing A immediately led to reward and choosing B was never rewarded, C vs D, where neither choice was immediately rewarded but choice of C led to reward in a later E vs F trial, and E vs F, where neither stimulus was associated with reward but a reward was given based on choice of C in the past. Results showed that nine individuals learned to choose C, thereby receiving a delayed reward. Among them, one participant subsequently correctly described the task structure in words, while the remaining eight did so with misunderstandings. We also observed large individual differences in participants' action selection (e.g., an irrational bias for D, a possible superstitious bias for either E or F) and explicit/implicit understanding of the link between action and delayed outcome expressed in words. Our results offer new insights into the ability to cognitively link actions and outcomes following a time lag."
"Cognitive and neural mechanisms of learning and interventions for improvement across the adult lifespan: A systematic review.","https://scispace.com/paper/40651682","2025","Journal Article","Neuroscience and biobehavioral reviews","Privitera
Ng
Chen","10.1016/j.neubiorev.2025.106281","","There continues to be growing interest in the Science of Learning including identifying ways to apply findings. Presently, little is known about learning during healthy adulthood and methods to improve that learning. The main objective of the present systematic review is to identify and synthesize all recent cognitive and brain research investigating learning during healthy aging in adulthood. Searches were performed across Scopus, Web of Science, and ProQuest databases to identify published and unpublished studies conducted in healthy adults. Eligible studies reported measures of learning-related cognition, brain structure or function and their relationship with age, or effects of interventions to improve learning. Risk of bias was assessed using either the Mixed Methods Appraisal Tool or Critical Appraisal Skills Programme checklist. Search and screening were performed by three trained reviewers. Included studies were summarized using narrative synthesis and, for intervention studies, an effect direction plot. A total of 265 relevant studies were identified for inclusion. Studies were primarily lab-based cross-sectional studies conducted in Western contexts. Findings revealed an overall decline in learning-related cognitive and brain outcomes during healthy aging. However, declines were more pronounced in fluid abilities and explicit learning and memory while crystalized abilities and implicit learning and memory showed stability. Generally, higher education and socioeconomic status positively modulated age-related learning trajectories while baseline cognitive function influenced the effectiveness of interventions. Findings from the present systematic review are potentially limited by the exclusive focus on healthy aging and the small number of included studies conducted in non-Western contexts. Implications for policy, practice, and future research are discussed."
"Mental association of time and valence revealed with a novel chronometric approach: The positive-future effect.","https://scispace.com/paper/40369250","2025","Journal Article","Memory & cognition","Janczyk
Tucholski
Kaup
Ulrich","10.3758/s13421-025-01715-y","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12696037/pdf","Two recent studies utilized indirect response procedures (i.e., a sentence completion task and the Implicit Association Test) and suggest that people evaluate the future more positively than the past (Kaup et al., Frontiers in Psychology, 12, 612,720, 2021; Ulrich et al., Memory & Cognition, 52, 444-458, 2024). This present article reports a novel chronometric approach and a self-report study examining whether this relationship can be observed consistently. In one part of the chronometric study, participants were instructed to respond verbally with the words ""past"" and ""tomorrow"" to negatively and positively connotated words. In the positive-future condition, participants responded with ""tomorrow"" to positive and ""yesterday"" to negative words; in the positive-past condition, they responded with ""yesterday"" to positive and ""tomorrow"" to negative words. In the other part, participants responded verbally with ""good"" and ""bad"" to time-related words. In the positive-future condition, they responded with ""good"" to future-related and ""bad"" to past-related words; in the positive-past condition, they responded with ""good"" to past-related and ""bad"" to future-related words. Response times were shorter in the positive-future than in the positive-past condition, suggesting that participants consistently evaluate the future more positively than the past (i.e., the positive-future effect). This strengthens the view that the positive-future effect is robust and general. Several possible mechanisms of why this effect emerges are discussed. The self-report study, in contrast, indicated no significant difference in individuals' perceptions of the past compared to the future. This may be attributed to a positivity bias in recalling past events, which may mask the differences in how people perceive the past versus the future."
"Direct brain recordings reveal implicit encoding of structure in random auditory streams.","https://scispace.com/paper/40289162","2025","Journal Article","Scientific reports","Fuhrer
Glette
Ivanovic
Larsson
Bekinschtein
Kochen
Knight
Tørresen
Solbakk
Endestad
Blenkmann","10.1038/s41598-025-98865-5","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12034823/pdf","The brain excels at processing sensory input, even in rich or chaotic environments. Mounting evidence attributes this to sophisticated internal models of the environment that draw on statistical structures in the unfolding sensory input. Understanding how and where such modeling proceeds is a core question in statistical learning and predictive processing. In this context, we address the role of transitional probabilities as an implicit structure supporting the encoding of the temporal structure of a random auditory stream. Leveraging information-theoretical principles and the high spatiotemporal resolution of intracranial electroencephalography, we analyzed the trial-by-trial high-frequency activity representation of transitional probabilities. This unique approach enabled us to demonstrate how the brain automatically and continuously encodes structure in random stimuli and revealed the involvement of a network outside of the auditory system, including hippocampal, frontal, and temporal regions. Our work provides a comprehensive picture of the neural correlates of automatic encoding of implicit structure that can be the crucial substrate for the swift detection of patterns and unexpected events in the environment."
"Implication of explicit knowledge and subjective evaluation in procedural perceptual-motor learning.","https://scispace.com/paper/40255278","2025","Journal Article","Frontiers in behavioral neuroscience","Seiwert
Martin
Lagarrigue
Amarantini
Fautrelle
Tisseyre
Tallet","10.3389/fnbeh.2025.1567905","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12006979/pdf","Procedural Perceptual-Motor Learning (PPML) enables the acquisition of new motor procedures and is fundamental for a wide range of human behaviors. While traditional research has focused on task-related characteristics, there is growing interest in individual factors to account for inter-individual differences in PPML. This study aims to investigate the roles of two individual factors related to learners' strategies and mindsets: (a) explicit knowledge of the task's characteristics and regularities and (b) subjective evaluation of the task and performance. We hypothesized that (a) participants reporting explicit knowledge of the task would exhibit higher PPML scores compared to those who did not, and (b) PPML scores would be related to subjective evaluation."
"Individual differences in probabilistic learning and updating predictive representations in individuals with obsessive-compulsive tendencies.","https://scispace.com/paper/40217179","2025","Journal Article","BMC psychiatry","Brezóczki
Farkas
Hann
Pesthy
Tóth-Fáber
Farkas
Csigó
Németh
Vékony","10.1186/s12888-025-06786-4","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11992832/pdf","Obsessive-compulsive (OC) tendencies involve intrusive thoughts and rigid, repetitive behaviours that also manifest at the subclinical level in the general population. The neurocognitive factors driving the development and persistence of the excessive presence of these tendencies remain highly elusive, though emerging theories emphasize the role of implicit information processing. Despite various empirical studies on distinct neurocognitive processes, the incidental retrieval of environmental structures in dynamic and noisy environments, such as probabilistic learning, has received relatively little attention."
"Investigating social cognition in Multiple Sclerosis: Does Implicit Biological Motion processing affect visuo-spatial attention?","https://scispace.com/paper/40118370","2025","Journal Article","Neuropsychologia","Bonventre
De Cesaris
Bertoli
Graziano
Tomassini
Brunetti","10.1016/j.neuropsychologia.2025.109131","","The perception of Biological Motion (BM) is critical for understanding social cues. A limited number of moving light dots resembling a moving individual, can suggest social intention information, providing an attentional orienting. This ability to predict other's intentions from BM cues refers to social cognition, an ability impaired in several neurological diseases. As in patients with Multiple Sclerosis (MS) an impairment in visuo-spatial attention and social cognition has been observed, we aim to investigate the possible differences in the visuo-spatial attention between MS patients and healthy individuals by using BM stimuli as cues. We tested 37 MS patients and 40 healthy controls (HC), who performed a modified central cue Posner task, using BM stimuli as cues that are not always predictive of the target location. They were represented by Point Light Walker (PLW) configuration, a series of dots arranged at the human joints and walking through the left or right of the screen, shown in the global (whole body) or local (two dots, indicating the feet of the PLW) configuration. MS patients exhibited overall slower responses compared to HC. In MS patients, a weaker advantage of valid trial over invalid ones was evident when cue had a local than global BM configuration. Also, MS patients showed a slower performance than HC in valid trials with local BM cues. The difference between groups was attenuated when the cue had a global BM configuration. These findings suggest possible impairment of local BM cue processing in MS patients, possibly due to delays or deficits in interpreting feet motion as biological information, reducing the cue's predictive power."
"'Some like it cold'. On the association between the physical and affective notion of warmth.","https://scispace.com/paper/40070127","2025","Journal Article","Quarterly journal of experimental psychology (2006)","Daprati
Marrocco
Nico","10.1177/17470218251329230","","Various observations suggest a strong mental association between the physical and affective notion of warmth, possibly originating from early experiences with parental figures. Behaviourally, this link could increase the propensity to interact with, and bestow trust on, other individuals when prompted with warm primes. We investigated whether a similar phenomenon may follow the experience of coldness. Indeed, by evoking the idea of a rational, self-controlled person rather than that of an emotional one, the notion of 'cold' may elicit that of reliability, driving some individuals to behave more pro-socially in response to cold primes. To test this possibility, we collected a quantitative measure of the stereotypical 'warm = trustworthy' association from a sample of healthy volunteers (Exp1, "
