"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Posterior Collapse as a Phase Transition in Variational Autoencoders","https://scispace.com/paper/http://arxiv.org/abs/2510.01621v2","2025","Preprint","","Zhen Li
Fan Zhang
Zheng Zhang
Yu Chen","10.1016/j.physa.2025.131228","https://arxiv.org/pdf/2510.01621v2","We investigate the phenomenon of posterior collapse in variational autoencoders (VAEs) from the perspective of statistical physics, and reveal that it constitutes a phase transition governed jointly by data structure and model hyper-parameters. By analyzing the stability of the trivial solution associated with posterior collapse, we identify a critical hyper-parameter threshold. In particular, we derive an explicit criterion for the onset of collapse: posterior collapse occurs when the decoder variance exceeds the largest eigenvalue of the data covariance matrix. This critical boundary, separating meaningful latent inference from collapse, is characterized by a discontinuity in the KL divergence between the approximate posterior and the prior distribution, where the KL divergence and its derivatives exhibit clear non-analytic behavior. We validate this critical behavior on both synthetic and real-world datasets, confirming the existence of a phase transition. The experimental results align well with our theoretical predictions, demonstrating the robustness of our collapse criterion across various VAE architectures. Our stability-based analysis demonstrate that posterior collapse is not merely an optimization failure, but rather an emerging phase transition arising from the interplay between data structure and variational constraints. This perspective offers new insights into the trainability and representational capacity of deep generative models."
"Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit","https://scispace.com/paper/http://arxiv.org/abs/2207.08799v3","2022","Preprint","","Boaz Barak
Benjamin L. Edelman
Surbhi Goel
Sham Kakade
Eran Malach
Cyril Zhang","","https://arxiv.org/pdf/2207.08799v3","There is mounting evidence of emergent phenomena in the capabilities of deep learning methods as we scale up datasets, model sizes, and training times. While there are some accounts of how these resources modulate statistical capacity, far less is known about their effect on the computational problem of model training. This work conducts such an exploration through the lens of learning a $k$-sparse parity of $n$ bits, a canonical discrete search problem which is statistically easy but computationally hard. Empirically, we find that a variety of neural networks successfully learn sparse parities, with discontinuous phase transitions in the training curves. On small instances, learning abruptly occurs at approximately $n^{O(k)}$ iterations; this nearly matches SQ lower bounds, despite the apparent lack of a sparse prior. Our theoretical analysis shows that these observations are not explained by a Langevin-like mechanism, whereby SGD ""stumbles in the dark"" until it finds the hidden set of features (a natural algorithm which also runs in $n^{O(k)}$ time). Instead, we show that SGD gradually amplifies the sparse solution via a Fourier gap in the population gradient, making continual progress that is invisible to loss and error metrics."
"What could be learned about phase transitions, meson and nucleon structure in hot medium from a chiral quark-meson theory?","https://scispace.com/paper/http://arxiv.org/abs/1901.10282v1","2019","Preprint","","Christo V. Christov","","https://arxiv.org/pdf/1901.10282v1","In this contribution I summarize and discuss the results of the bulk thermodynamic characteristics, meson and nucleon structure in hot matter obtained in the framework of a chiral quark-meson theory. A hybrid NJL model is used in which a Dirac sea of quarks is combined with a Fermi sea of quarks or of nucleons. In the model mesons are described as collective $\bar qq$ excitations and the nucleon appears as a baryon-number-one soliton of $N_c$ valence quarks coupled to both Dirac and Fermi sea. According to the model at some critical density and/or temperature phase transitions from nucleons to quarks as well as from Goldstone to Wigner phase are expected. At finite density the chiral order parameter and the constituent quark mass have a non-monotonic temperature dependence-at temperatures not close to the critical one they are less affected than in cold matter. The quark matter is rather soft against thermal fluctuations and the corresponding chiral phase transition is smooth. The nucleon matter is much stiffer and the phase transition is very sharp. In the case of quark matter a first-order transition is suggested at low temperatures ($T<80$ MeV) which changes to a second-order one at higher temperatures. In contrast to the quark matter in the case of nucleon matter the thermodynamic variables show large discontinuities which is a clear indication for a first-order phase transition. In hot medium at intermediate temperature the nucleon soliton is more bound and less swelled than in the case of cold matter. At some critical temperature, which for nucleon matter coincides with the critical temperature for the phase transition, no more a localized solution is found. According to this model scenario one should expect a first-order phase transition from nucleon to quark matter."
"Phase Transitions in Community Detection: A Solvable Toy Model","https://scispace.com/paper/http://arxiv.org/abs/1312.0631v1","2013","Preprint","","Greg Ver Steeg
Cristopher Moore
Aram Galstyan
Armen E. Allahverdyan","10.1209/0295-5075/106/48004","https://arxiv.org/pdf/1312.0631v1","Recently, it was shown that there is a phase transition in the community detection problem. This transition was first computed using the cavity method, and has been proved rigorously in the case of $q=2$ groups. However, analytic calculations using the cavity method are challenging since they require us to understand probability distributions of messages. We study analogous transitions in so-called ""zero-temperature inference"" model, where this distribution is supported only on the most-likely messages. Furthermore, whenever several messages are equally likely, we break the tie by choosing among them with equal probability. While the resulting analysis does not give the correct values of the thresholds, it does reproduce some of the qualitative features of the system. It predicts a first-order detectability transition whenever $q > 2$, while the finite-temperature cavity method shows that this is the case only when $q > 4$. It also has a regime analogous to the ""hard but detectable"" phase, where the community structure can be partially recovered, but only when the initial messages are sufficiently accurate. Finally, we study a semisupervised setting where we are given the correct labels for a fraction $ρ$ of the nodes. For $q > 2$, we find a regime where the accuracy jumps discontinuously at a critical value of $ρ$."
"Data-driven effective model shows a liquid-like deep learning","https://scispace.com/paper/http://arxiv.org/abs/2007.08093v2","2020","Preprint","","Wenxuan Zou
Haiping Huang","10.1103/PhysRevResearch.3.033290","https://arxiv.org/pdf/2007.08093v2","The geometric structure of an optimization landscape is argued to be fundamentally important to support the success of deep neural network learning. A direct computation of the landscape beyond two layers is hard. Therefore, to capture the global view of the landscape, an interpretable model of the network-parameter (or weight) space must be established. However, the model is lacking so far. Furthermore, it remains unknown what the landscape looks like for deep networks of binary synapses, which plays a key role in robust and energy efficient neuromorphic computation. Here, we propose a statistical mechanics framework by directly building a least structured model of the high-dimensional weight space, considering realistic structured data, stochastic gradient descent training, and the computational depth of neural networks. We also consider whether the number of network parameters outnumbers the number of supplied training data, namely, over- or under-parametrization. Our least structured model reveals that the weight spaces of the under-parametrization and over-parameterization cases belong to the same class, in the sense that these weight spaces are well-connected without any hierarchical clustering structure. In contrast, the shallow-network has a broken weight space, characterized by a discontinuous phase transition, thereby clarifying the benefit of depth in deep learning from the angle of high dimensional geometry. Our effective model also reveals that inside a deep network, there exists a liquid-like central part of the architecture in the sense that the weights in this part behave as randomly as possible, providing algorithmic implications. Our data-driven model thus provides a statistical mechanics insight about why deep learning is unreasonably effective in terms of the high-dimensional weight space, and how deep networks are different from shallow ones."
"Statistical mechanics of unsupervised feature learning in a restricted Boltzmann machine with binary synapses","https://scispace.com/paper/http://arxiv.org/abs/1612.01717v2","2016","Preprint","","Haiping Huang","10.1088/1742-5468/aa6ddc","https://arxiv.org/pdf/1612.01717v2","Revealing hidden features in unlabeled data is called unsupervised feature learning, which plays an important role in pretraining a deep neural network. Here we provide a statistical mechanics analysis of the unsupervised learning in a restricted Boltzmann machine with binary synapses. A message passing equation to infer the hidden feature is derived, and furthermore, variants of this equation are analyzed. A statistical analysis by replica theory describes the thermodynamic properties of the model. Our analysis confirms an entropy crisis preceding the non-convergence of the message passing equation, suggesting a discontinuous phase transition as a key characteristic of the restricted Boltzmann machine. Continuous phase transition is also confirmed depending on the embedded feature strength in the data. The mean-field result under the replica symmetric assumption agrees with that obtained by running message passing algorithms on single instances of finite sizes. Interestingly, in an approximate Hopfield model, the entropy crisis is absent, and a continuous phase transition is observed instead. We also develop an iterative equation to infer the hyper-parameter (temperature) hidden in the data, which in physics corresponds to iteratively imposing Nishimori condition. Our study provides insights towards understanding the thermodynamic properties of the restricted Boltzmann machine learning, and moreover important theoretical basis to build simplified deep networks."
"On the Learning Dynamics of RLVR at the Edge of Competence","https://scispace.com/paper/http://arxiv.org/abs/2602.14872v1","2026","Preprint","","Yu Huang
Zixin Wen
Yuejie Chi
Yuting Wei
Aarti Singh
Yingbin Liang
Yuxin Chen","","https://arxiv.org/pdf/2602.14872v1","Reinforcement learning with verifiable rewards (RLVR) has been a main driver of recent breakthroughs in large reasoning models. Yet it remains a mystery how rewards based solely on final outcomes can help overcome the long-horizon barrier to extended reasoning. To understand this, we develop a theory of the training dynamics of RL for transformers on compositional reasoning tasks. Our theory characterizes how the effectiveness of RLVR is governed by the smoothness of the difficulty spectrum. When data contains abrupt discontinuities in difficulty, learning undergoes grokking-type phase transitions, producing prolonged plateaus before progress recurs. In contrast, a smooth difficulty spectrum leads to a relay effect: persistent gradient signals on easier problems elevate the model's capabilities to the point where harder ones become tractable, resulting in steady and continuous improvement. Our theory explains how RLVR can improve performance at the edge of competence, and suggests that appropriately designed data mixtures can yield scalable gains. As a technical contribution, our analysis develops and adapts tools from Fourier analysis on finite groups to our setting. We validate the predicted mechanisms empirically via synthetic experiments."
"Overparametrization bends the landscape: BBP transitions at initialization in simple Neural Networks","https://scispace.com/paper/http://arxiv.org/abs/2510.18435v1","2025","Preprint","","Brandon Livio Annesi
Dario Bocchi
Chiara Cammarota","","https://arxiv.org/pdf/2510.18435v1","High-dimensional non-convex loss landscapes play a central role in the theory of Machine Learning. Gaining insight into how these landscapes interact with gradient-based optimization methods, even in relatively simple models, can shed light on this enigmatic feature of neural networks. In this work, we will focus on a prototypical simple learning problem, which generalizes the Phase Retrieval inference problem by allowing the exploration of overparametrized settings. Using techniques from field theory, we analyze the spectrum of the Hessian at initialization and identify a Baik-Ben Arous-Péché (BBP) transition in the amount of data that separates regimes where the initialization is informative or uninformative about a planted signal of a teacher-student setup. Crucially, we demonstrate how overparameterization can bend the loss landscape, shifting the transition point, even reaching the information-theoretic weak-recovery threshold in the large overparameterization limit, while also altering its qualitative nature. We distinguish between continuous and discontinuous BBP transitions and support our analytical predictions with simulations, examining how they compare to the finite-N behavior. In the case of discontinuous BBP transitions strong finite-N corrections allow the retrieval of information at a signal-to-noise ratio (SNR) smaller than the predicted BBP transition. In these cases we provide estimates for a new lower SNR threshold that marks the point at which initialization becomes entirely uninformative."
"Data Mixing Can Induce Phase Transitions in Knowledge Acquisition","https://scispace.com/paper/http://arxiv.org/abs/2505.18091v2","2025","Preprint","","Xinran Gu
Kaifeng Lyu
Jiazheng Li
Jingzhao Zhang","","https://arxiv.org/pdf/2505.18091v2","Large Language Models (LLMs) are typically trained on data mixtures: most data come from web scrapes, while a small portion is curated from high-quality sources with dense domain-specific knowledge. In this paper, we show that when training LLMs on such data mixtures, knowledge acquisition from knowledge-dense datasets, unlike training exclusively on knowledge-dense data (arXiv:2404.05405), does not always follow a smooth scaling law but can exhibit phase transitions with respect to the mixing ratio and model size. Through controlled experiments on a synthetic biography dataset mixed with web-scraped data, we demonstrate that: (1) as we increase the model size to a critical value, the model suddenly transitions from memorizing very few to most of the biographies; (2) below a critical mixing ratio, the model memorizes almost nothing even with extensive training, but beyond this threshold, it rapidly memorizes more biographies. We attribute these phase transitions to a capacity allocation phenomenon: a model with bounded capacity must act like a knapsack problem solver to minimize the overall test loss, and the optimal allocation across datasets can change discontinuously as the model size or mixing ratio varies. We formalize this intuition in an information-theoretic framework and reveal that these phase transitions are predictable, with the critical mixing ratio following a power-law relationship with the model size. Our findings highlight a concrete case where a good mixing recipe for large models may not be optimal for small models, and vice versa."
"Learning Discrete Successor Transitions in Continuous Attractor Networks: Emergence, Limits, and Topological Constraints","https://scispace.com/paper/http://arxiv.org/abs/2601.15336v1","2026","Preprint","","Daniel Brownell","","https://arxiv.org/pdf/2601.15336v1","Continuous attractor networks (CANs) are a well-established class of models for representing low-dimensional continuous variables such as head direction, spatial position, and phase. In canonical spatial domains, transitions along the attractor manifold are driven by continuous displacement signals, such as angular velocity-provided by sensorimotor systems external to the CAN itself. When such signals are not explicitly provided as dedicated displacement inputs, it remains unclear whether attractor-based circuits can reliably acquire recurrent dynamics that support stable state transitions, or whether alternative predictive strategies dominate.
  In this work, we present an experimental framework for training CANs to perform successor-like transitions between stable attractor states in the absence of externally provided displacement signals. We compare two recurrent topologies, a circular ring and a folded snake manifold, and systematically vary the temporal regime under which stability is evaluated. We find that, under short evaluation windows, networks consistently converge to impulse-driven associative solutions that achieve high apparent accuracy yet lack persistent attractor dynamics. Only when stability is explicitly enforced over extended free-run periods do genuine attractor-based transition dynamics emerge. This suggests that shortcut solutions are the default outcome of local learning in recurrent networks, while attractor dynamics represent a constrained regime rather than a generic result.
  Furthermore, we demonstrate that topology strictly limits the capacity for learned transitions. While the continuous ring topology achieves perfect stability over long horizons, the folded snake topology hits a geometric limit characterized by failure at manifold discontinuities, which neither curriculum learning nor basal ganglia-inspired gating can fully overcome."
